possession_id,n_frames,n_players,possession_sca_total,possession_sca_mean,possession_cut_rate,possession_drag_rate,possession_screen_rate,possession_decoy_rate,possession_shot5_rate,attacking_team,defending_team,duration_seconds,shot_or_goal_in_possession,slot_shot_or_goal_in_possession
2025-10-11.Team.A.@.Team.D__pos_0000,16,4,0.06580191937603708,0.004112619961002317,0.5625,0.0,0.0,0.0625,0.5,Team D,Team A,3.0,1,0
2025-10-11.Team.A.@.Team.D__pos_0001,51,6,-0.26699408843182737,-0.005235178204545635,0.09803921568627451,0.13725490196078433,0.0392156862745098,0.19607843137254902,0.0,Team D,Team A,11.0,0,0
2025-10-11.Team.A.@.Team.D__pos_0002,51,6,-0.26699408843182737,-0.005235178204545635,0.09803921568627451,0.13725490196078433,0.0392156862745098,0.19607843137254902,0.0,Team D,Team A,11.0,0,0
2025-10-11.Team.A.@.Team.D__pos_0003,35,5,0.033940600369833485,0.0009697314391380995,0.08571428571428572,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.0,Team D,Team A,8.0,0,0
2025-10-11.Team.A.@.Team.D__pos_0004,32,5,0.1973257382587459,0.006166429320585809,0.0625,0.09375,0.0625,0.15625,0.0,Team D,Team A,7.0,0,0
2025-10-11.Team.A.@.Team.D__pos_0005,49,6,0.27811375652306375,0.0056757909494502806,0.16326530612244897,0.14285714285714285,0.0,0.24489795918367346,0.5510204081632653,Team A,Team D,11.0,1,1
2025-10-11.Team.A.@.Team.D__pos_0006,49,6,0.27811375652306375,0.0056757909494502806,0.16326530612244897,0.14285714285714285,0.0,0.24489795918367346,0.5510204081632653,Team A,Team D,11.0,1,1
2025-10-11.Team.A.@.Team.D__pos_0007,34,5,0.5006036973579547,0.014723638157586904,0.029411764705882353,0.17647058823529413,0.0,0.11764705882352941,0.38235294117647056,Team A,Team D,8.0,1,1
2025-10-11.Team.A.@.Team.D__pos_0008,23,5,0.2729592494837111,0.011867793455813526,0.043478260869565216,0.17391304347826086,0.0,0.13043478260869565,0.34782608695652173,Team A,Team D,5.0,0,0
2025-10-11.Team.A.@.Team.D__pos_0009,12,4,0.1554849585447986,0.012957079878733216,0.08333333333333333,0.0,0.0,0.16666666666666666,1.0,Team A,Team D,2.0,0,0
