game_id,date,away_team,home_team,possessing_team,forechecking_team,start_event_idx,end_event_idx,start_elapsed_seconds,end_elapsed_seconds,duration_seconds,start_period_label,end_period_label,start_clock,end_clock,start_event,end_event,start_x,start_y,end_x,end_y,outcome,turnover_in_dzone,forced_dump_out,controlled_exit_allowed,stoppage,timeout,exit_lane,start_is_5v5,home_goals_start,away_goals_start,score_diff_possessing_start,score_diff_forechecking_start,forechecking_score_state,episode_id,n_frames,mean_pressure_at_carrier,peak_pressure_at_carrier,mean_gradient_mag,mean_funnel_to_boards,mean_corridor_middle,mean_corridor_strong_boards,mean_corridor_weak_boards,mean_corridor_behind_net,mean_open_corridor_cost,mean_compactness_area,mean_nearest_defender_distance,mean_defenders_near_carrier,mean_local_pressure,mean_pinchers,mean_d_pinch_support,mean_f1_distance,mean_f2_distance,mean_f3_distance,mean_f1_pressure_contrib,mean_f2_pressure_contrib,mean_f3_pressure_contrib,mean_f1_share_pressure,mean_f2_share_pressure,mean_f3_share_pressure,share_time_high_pressure,corridor_closure_rate_3s,cluster_id
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,4,8,8.0,11.0,3.0,1,1,19:52,19:49,Puck Recovery,Puck Recovery,93.0,11.5,56.0,39.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,0,0,0,0,tied,2025-10-11.Team.A.@.Team.D__0000,5.0,0.7876581235175474,1.6530237226804334,0.03830468198195195,0.031928978372349315,0.705124827315958,0.7049876972667005,0.5671663484328894,0.6096274021060936,0.4469718578655625,78.4,13.979617958640052,1.2,0.34798997028660517,0.4,0.4,13.979617958640052,20.617626937297118,31.28604530108218,0.41548649118005815,0.2448672115916824,0.08649331903178593,0.5512539118918844,0.32265981690345863,0.12608627120465687,0.2,-0.1971249434269481,3
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,11,14,22.0,30.0,8.0,1,1,19:38,19:30,Puck Recovery,Zone Entry,58.0,39.5,-26.0,31.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,0,0,0,0,tied,2025-10-11.Team.A.@.Team.D__0001,12.0,1.0803689606708187,1.4705322443711075,0.041400800412114254,-0.19636811166552326,0.7456691207262475,0.7399076220792392,0.5098895981793811,0.6273171419927196,0.42014172255398946,314.4166666666667,8.916573274380818,2.25,0.4590687396113354,0.75,0.5,8.916573274380818,14.577358351125001,22.964601758605017,0.48039259737041995,0.3539241174986549,0.1968399373405478,0.4755713592179242,0.33919325720408294,0.18523538357799285,0.6666666666666666,0.016123200986094127,0
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,29,30,48.0,50.0,2.0,1,1,19:12,19:10,Puck Recovery,Dump In/Out,-72.0,3.5,-67.0,-0.5,forced_dump_out,0,1,0,0,0,middle,1,0,0,0,0,tied,2025-10-11.Team.A.@.Team.D__0003,3.0,1.518713277091166,1.7420155999445337,0.04880326791283628,0.24202029777143289,0.9438574398127728,0.7118653557522303,0.636230743996049,1.4049718688597153,0.629386245701337,375.6666666666667,5.125728581904589,3.0,0.5175445281501562,0.3333333333333333,0.3333333333333333,5.125728581904589,9.970870177425985,12.055335475339085,0.6157171113582444,0.44974461207284344,0.391951195478167,0.4230535822919477,0.3081238412351328,0.26882257647291946,1.0,0.20761435219620578,0
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,38,40,64.0,72.0,8.0,1,1,18:56,18:48,Puck Recovery,Zone Entry,96.0,6.5,-26.0,-38.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,0,0,0,0,tied,2025-10-11.Team.A.@.Team.D__0004,12.0,0.18945833246164082,0.44702983288289805,0.016045335766766786,-0.19052496242021832,0.4217700431914242,0.23178281862294303,0.3471743862036846,0.12718650992042901,0.0913517221936249,12.25,25.175332214917113,0.16666666666666666,0.0680263948853891,0.9166666666666666,0.25,26.352216597533413,47.14154244158369,73.5423558736,0.15930349154308854,0.02011368574957877,0.003338149907213405,0.8559178077800325,0.15094732368787353,0.00761841623033346,0.0,0.006210640132170257,1
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,43,45,75.0,79.0,4.0,1,1,18:45,18:41,Puck Recovery,Zone Entry,-63.0,-35.5,25.0,-31.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,0,0,0,0,tied,2025-10-11.Team.A.@.Team.D__0005,7.0,1.023937359453267,1.439178105681734,0.034119496380379345,0.13163358716844503,0.3842795571766691,0.5372211058686999,0.3174840296031391,0.5119934125247607,0.30909172662542345,210.0,6.949637107669203,2.0,0.49774052100458477,0.42857142857142855,0.2857142857142857,6.949637107669203,17.519077510108076,24.973498207248497,0.5513567833443019,0.2868136619186918,0.1723996834805963,0.5683458563672016,0.2680503699116436,0.16360377372115484,0.7142857142857143,-0.02961266322634124,3
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,61,64,110.0,121.0,11.0,1,1,18:10,17:59,Puck Recovery,Faceoff Win,93.0,-18.5,69.0,22.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,0,0,0,0,tied,2025-10-11.Team.A.@.Team.D__0006,4.0,0.29395909698880274,0.695221095371666,0.014057483155637856,-0.380696718333733,0.4656934281441646,0.3981134140925481,0.3771966995579701,0.11010330968798655,0.10423158422092073,0.0,24.187268593394595,0.5,0.1094598354989627,0.75,0.0,24.187268593394595,31.167859168198852,43.29722198540549,0.18806211338531165,0.09536024635373218,0.014048982999678605,0.5994198136483522,0.32790427313246584,0.096901217625576,0.0,0.10946026734795149,1
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,67,73,124.0,130.0,6.0,1,1,17:56,17:50,Faceoff Win,Puck Recovery,69.0,22.5,33.0,-34.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,0,0,0,0,tied,2025-10-11.Team.A.@.Team.D__0007,5.0,0.5920969794278041,0.8655794782451429,0.03928165366864729,-0.31541773741717916,0.6199011789673916,0.46968261066223016,0.43186131331000394,0.4685213568161398,0.3117972279440927,0.0,10.090783440686192,1.0,0.47569523088061116,1.4,1.0,10.090783440686192,31.31632669215199,51.924440557514195,0.47569523088061116,0.10789853639277477,0.008459362069174078,0.8193859991721645,0.16955521274481125,0.011058788083024178,0.0,0.00855753544635152,2
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,75,76,134.0,135.0,1.0,1,1,17:46,17:45,Puck Recovery,Takeaway,70.0,39.5,46.0,39.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,0,0,0,0,tied,2025-10-11.Team.A.@.Team.D__0008,2.0,1.1645471326863168,1.348667312359599,0.07816889353768208,-0.9660897260092288,0.8188502615710798,0.7366270759154064,0.6331974092727304,0.6221926774961513,0.5685546546950926,196.0,3.5926087331524372,1.5,0.6439242053204756,1.0,1.0,3.5926087331524372,13.941501162848986,25.45858696485689,0.661769535522879,0.36666288724816587,0.13519994385089107,0.5896602656700677,0.2984677668564546,0.11187196747347772,1.0,-0.15747171730529932,0
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,80,87,147.0,159.0,12.0,1,1,17:33,17:21,Faceoff Win,Faceoff Win,69.0,22.5,69.0,22.5,stoppage,0,0,0,1,0,boards_positive,1,0,0,0,0,tied,2025-10-11.Team.A.@.Team.D__0009,16.0,0.42366475971344586,0.7776177870952976,0.026176918592236163,-0.31265787344312096,0.5061018703277548,0.517869217932458,0.38943907997629434,0.36910762393977925,0.27913092905042114,52.0625,16.934648695076685,0.6875,0.17534880957870635,0.4375,0.3125,16.934648695076685,31.239011682537836,40.56619907780914,0.2980930002564828,0.08565071058763149,0.03029874473070375,0.7113831447365001,0.21634313706525876,0.0722737181982411,0.0,-0.026007257764782625,1
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,87,94,159.0,176.0,17.0,1,1,17:21,17:04,Faceoff Win,Puck Recovery,69.0,22.5,87.0,37.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,0,0,0,0,tied,2025-10-11.Team.A.@.Team.D__0010,26.0,0.8392581218573358,1.7710561743029576,0.029229154001609723,-0.06753827173015872,0.6735467975610571,0.5767389098534926,0.49355650147393876,0.2932381748934836,0.2532105193600715,205.42307692307693,10.691952792437124,1.5,0.41184137976074714,0.5,0.2692307692307692,10.691952792437124,20.812351322216287,31.517212334761886,0.4518589976569485,0.22737073431533777,0.10575967881837524,0.600434690041482,0.2785083090615194,0.1210570008969986,0.34615384615384615,0.03337551938573324,3
